"","date","time","county_name","county_outages","county_total","state_outages","state_perc"
"83","10/21/2018","21:00","ESCAMBIA","0","156436","77254","0.73"
"84","10/21/2018","21:00","FLAGLER","0","59627","77254","0.73"
"85","10/21/2018","21:00","FRANKLIN","0","10642","77254","0.73"
"86","10/21/2018","21:00","GADSDEN","3526","22425","77254","0.73"
"87","10/21/2018","21:00","GILCHRIST","0","9109","77254","0.73"
"88","10/21/2018","21:00","GLADES","0","7435","77254","0.73"
"89","10/21/2018","21:00","GULF","3428","11026","77254","0.73"
"90","10/21/2018","21:00","HAMILTON","0","6807","77254","0.73"
"91","10/21/2018","21:00","HARDEE","0","12375","77254","0.73"
"92","10/21/2018","21:00","HENDRY","0","18586","77254","0.73"
"93","10/21/2018","21:00","HERNANDO","0","95043","77254","0.73"
"94","10/21/2018","21:00","HIGHLANDS","0","62344","77254","0.73"
"95","10/21/2018","21:00","HILLSBOROUGH","0","634262","77254","0.73"
"96","10/21/2018","21:00","HOLMES","0","10347","77254","0.73"
"97","10/21/2018","21:00","INDIAN","0","93042","77254","0.73"
"98","10/21/2018","21:00","JACKSON","17445","24048","77254","0.73"
"99","10/21/2018","21:00","JEFFERSON","0","8376","77254","0.73"
"100","10/21/2018","21:00","LAFAYETTE","0","4192","77254","0.73"
"101","10/21/2018","21:00","LAKE","0","180116","77254","0.73"
"102","10/21/2018","21:00","LEE","0","445581","77254","0.73"
"103","10/21/2018","21:00","LEON","95","149600","77254","0.73"
"104","10/21/2018","21:00","LEVY","0","25132","77254","0.73"
"105","10/21/2018","21:00","LIBERTY","991","4081","77254","0.73"
"106","10/21/2018","21:00","MADISON","0","11037","77254","0.73"
"107","10/21/2018","21:00","MANATEE","0","214713","77254","0.73"
"108","10/21/2018","21:00","MARION","0","190998","77254","0.73"
"109","10/21/2018","21:00","MARTIN","0","94739","77254","0.73"
"110","10/21/2018","21:00","MIAMI-DADE","0","1161492","77254","0.73"
"111","10/21/2018","21:00","MONROE","0","62035","77254","0.73"
"112","10/21/2018","21:00","NASSAU","0","45678","77254","0.73"
"113","10/21/2018","21:00","OKALOOSA","0","109967","77254","0.73"
"114","10/21/2018","21:00","OKEECHOBEE","0","22420","77254","0.73"
"115","10/21/2018","21:00","ORANGE","0","582021","77254","0.73"
"116","10/21/2018","21:00","OSCEOLA","0","153219","77254","0.73"
"117","10/21/2018","21:00","PALM","0","777888","77254","0.73"
"118","10/21/2018","21:00","PASCO","0","270524","77254","0.73"
"119","10/21/2018","21:00","PINELLAS","0","537090","77254","0.73"
"120","10/21/2018","21:00","POLK","0","332026","77254","0.73"
"121","10/21/2018","21:00","PUTNAM","0","41195","77254","0.73"
"122","10/21/2018","21:00","SANTA","0","80308","77254","0.73"
"123","10/21/2018","21:00","SARASOTA","0","270195","77254","0.73"
"124","10/21/2018","21:00","SEMINOLE","0","209801","77254","0.73"
"125","10/21/2018","21:00","ST.","0","134966","77254","0.73"
"126","10/21/2018","21:00","ST.","0","156999","77254","0.73"
"127","10/21/2018","21:00","SUMTER","0","75106","77254","0.73"
"128","10/21/2018","21:00","SUWANNEE","0","22612","77254","0.73"
"129","10/21/2018","21:00","TAYLOR","0","13343","77254","0.73"
"130","10/21/2018","21:00","UNION","0","5383","77254","0.73"
"131","10/21/2018","21:00","VOLUSIA","0","289325","77254","0.73"
"132","10/21/2018","21:00","WAKULLA","3","15915","77254","0.73"
"133","10/21/2018","21:00","WALTON","0","60490","77254","0.73"
"134","10/21/2018","21:00","WASHINGTON","1903","13211","77254","0.73"
"135","10/22/2018","0:00","ALACHUA","0","130145","77206","0.73"
"136","10/22/2018","0:00","BAKER","0","11589","77206","0.73"
"137","10/22/2018","0:00","BAY","44362","117625","77206","0.73"
"138","10/22/2018","0:00","BRADFORD","0","12592","77206","0.73"
"139","10/22/2018","0:00","BREVARD","0","312898","77206","0.73"
"140","10/22/2018","0:00","BROWARD","0","939531","77206","0.73"
"141","10/22/2018","0:00","CALHOUN","5501","6937","77206","0.73"
"142","10/22/2018","0:00","CHARLOTTE","0","117437","77206","0.73"
"143","10/22/2018","0:00","CITRUS","0","88238","77206","0.73"
"144","10/22/2018","0:00","CLAY","0","94266","77206","0.73"
"145","10/22/2018","0:00","COLLIER","0","250710","77206","0.73"
"146","10/22/2018","0:00","COLUMBIA","0","33514","77206","0.73"
"147","10/22/2018","0:00","DESOTO","0","17827","77206","0.73"
"148","10/22/2018","0:00","DIXIE","0","10113","77206","0.73"
"149","10/22/2018","0:00","DUVAL","0","449806","77206","0.73"
"150","10/22/2018","0:00","ESCAMBIA","0","156436","77206","0.73"
"151","10/22/2018","0:00","FLAGLER","0","59627","77206","0.73"
"152","10/22/2018","0:00","FRANKLIN","0","10642","77206","0.73"
"153","10/22/2018","0:00","GADSDEN","3495","22425","77206","0.73"
"154","10/22/2018","0:00","GILCHRIST","0","9109","77206","0.73"
"155","10/22/2018","0:00","GLADES","0","7435","77206","0.73"
"156","10/22/2018","0:00","GULF","3428","11026","77206","0.73"
"157","10/22/2018","0:00","HAMILTON","0","6807","77206","0.73"
"158","10/22/2018","0:00","HARDEE","0","12375","77206","0.73"
"159","10/22/2018","0:00","HENDRY","0","18586","77206","0.73"
"160","10/22/2018","0:00","HERNANDO","0","95043","77206","0.73"
"161","10/22/2018","0:00","HIGHLANDS","0","62344","77206","0.73"
"162","10/22/2018","0:00","HILLSBOROUGH","0","634262","77206","0.73"
"163","10/22/2018","0:00","HOLMES","0","10347","77206","0.73"
"164","10/22/2018","0:00","INDIAN","0","93042","77206","0.73"
"165","10/22/2018","0:00","JACKSON","17445","24048","77206","0.73"
"166","10/22/2018","0:00","JEFFERSON","0","8376","77206","0.73"
"167","10/22/2018","0:00","LAFAYETTE","0","4192","77206","0.73"
"168","10/22/2018","0:00","LAKE","0","180116","77206","0.73"
"169","10/22/2018","0:00","LEE","0","445581","77206","0.73"
"170","10/22/2018","0:00","LEON","78","149600","77206","0.73"
"171","10/22/2018","0:00","LEVY","0","25132","77206","0.73"
"172","10/22/2018","0:00","LIBERTY","991","4081","77206","0.73"
"173","10/22/2018","0:00","MADISON","0","11037","77206","0.73"
"174","10/22/2018","0:00","MANATEE","0","214713","77206","0.73"
"175","10/22/2018","0:00","MARION","0","190998","77206","0.73"
"176","10/22/2018","0:00","MARTIN","0","94739","77206","0.73"
"177","10/22/2018","0:00","MIAMI-DADE","0","1161492","77206","0.73"
"178","10/22/2018","0:00","MONROE","0","62035","77206","0.73"
"179","10/22/2018","0:00","NASSAU","0","45678","77206","0.73"
"180","10/22/2018","0:00","OKALOOSA","0","109967","77206","0.73"
"181","10/22/2018","0:00","OKEECHOBEE","0","22420","77206","0.73"
"182","10/22/2018","0:00","ORANGE","0","582021","77206","0.73"
"183","10/22/2018","0:00","OSCEOLA","0","153219","77206","0.73"
"184","10/22/2018","0:00","PALM","0","777888","77206","0.73"
"185","10/22/2018","0:00","PASCO","0","270524","77206","0.73"
"186","10/22/2018","0:00","PINELLAS","0","537090","77206","0.73"
"187","10/22/2018","0:00","POLK","0","332026","77206","0.73"
"188","10/22/2018","0:00","PUTNAM","0","41195","77206","0.73"
"189","10/22/2018","0:00","SANTA","0","80308","77206","0.73"
"190","10/22/2018","0:00","SARASOTA","0","270195","77206","0.73"
"191","10/22/2018","0:00","SEMINOLE","0","209801","77206","0.73"
"192","10/22/2018","0:00","ST.","0","134966","77206","0.73"
"193","10/22/2018","0:00","ST.","0","156999","77206","0.73"
"194","10/22/2018","0:00","SUMTER","0","75106","77206","0.73"
"195","10/22/2018","0:00","SUWANNEE","0","22612","77206","0.73"
"196","10/22/2018","0:00","TAYLOR","0","13343","77206","0.73"
"197","10/22/2018","0:00","UNION","0","5383","77206","0.73"
"198","10/22/2018","0:00","VOLUSIA","0","289325","77206","0.73"
"199","10/22/2018","0:00","WAKULLA","3","15915","77206","0.73"
"200","10/22/2018","0:00","WALTON","0","60490","77206","0.73"
"201","10/22/2018","0:00","WASHINGTON","1903","13211","77206","0.73"
"202","10/22/2018","3:00","ALACHUA","0","130145","77206","0.73"
"203","10/22/2018","3:00","BAKER","0","11589","77206","0.73"
"204","10/22/2018","3:00","BAY","44362","117625","77206","0.73"
"205","10/22/2018","3:00","BRADFORD","0","12592","77206","0.73"
"206","10/22/2018","3:00","BREVARD","0","312898","77206","0.73"
"207","10/22/2018","3:00","BROWARD","0","939531","77206","0.73"
"208","10/22/2018","3:00","CALHOUN","5501","6937","77206","0.73"
"209","10/22/2018","3:00","CHARLOTTE","0","117437","77206","0.73"
"210","10/22/2018","3:00","CITRUS","0","88238","77206","0.73"
"211","10/22/2018","3:00","CLAY","0","94266","77206","0.73"
"212","10/22/2018","3:00","COLLIER","0","250710","77206","0.73"
"213","10/22/2018","3:00","COLUMBIA","0","33514","77206","0.73"
"214","10/22/2018","3:00","DESOTO","0","17827","77206","0.73"
"215","10/22/2018","3:00","DIXIE","0","10113","77206","0.73"
"216","10/22/2018","3:00","DUVAL","0","449806","77206","0.73"
"217","10/22/2018","3:00","ESCAMBIA","0","156436","77206","0.73"
"218","10/22/2018","3:00","FLAGLER","0","59627","77206","0.73"
"219","10/22/2018","3:00","FRANKLIN","0","10642","77206","0.73"
"220","10/22/2018","3:00","GADSDEN","3495","22425","77206","0.73"
"221","10/22/2018","3:00","GILCHRIST","0","9109","77206","0.73"
"222","10/22/2018","3:00","GLADES","0","7435","77206","0.73"
"223","10/22/2018","3:00","GULF","3428","11026","77206","0.73"
"224","10/22/2018","3:00","HAMILTON","0","6807","77206","0.73"
"225","10/22/2018","3:00","HARDEE","0","12375","77206","0.73"
"226","10/22/2018","3:00","HENDRY","0","18586","77206","0.73"
"227","10/22/2018","3:00","HERNANDO","0","95043","77206","0.73"
"228","10/22/2018","3:00","HIGHLANDS","0","62344","77206","0.73"
"229","10/22/2018","3:00","HILLSBOROUGH","0","634262","77206","0.73"
"230","10/22/2018","3:00","HOLMES","0","10347","77206","0.73"
"231","10/22/2018","3:00","INDIAN","0","93042","77206","0.73"
"232","10/22/2018","3:00","JACKSON","17445","24048","77206","0.73"
"233","10/22/2018","3:00","JEFFERSON","0","8376","77206","0.73"
"234","10/22/2018","3:00","LAFAYETTE","0","4192","77206","0.73"
"235","10/22/2018","3:00","LAKE","0","180116","77206","0.73"
"236","10/22/2018","3:00","LEE","0","445581","77206","0.73"
"237","10/22/2018","3:00","LEON","78","149600","77206","0.73"
"238","10/22/2018","3:00","LEVY","0","25132","77206","0.73"
"239","10/22/2018","3:00","LIBERTY","991","4081","77206","0.73"
"240","10/22/2018","3:00","MADISON","0","11037","77206","0.73"
"241","10/22/2018","3:00","MANATEE","0","214713","77206","0.73"
"242","10/22/2018","3:00","MARION","0","190998","77206","0.73"
"243","10/22/2018","3:00","MARTIN","0","94739","77206","0.73"
"244","10/22/2018","3:00","MIAMI-DADE","0","1161492","77206","0.73"
"245","10/22/2018","3:00","MONROE","0","62035","77206","0.73"
"246","10/22/2018","3:00","NASSAU","0","45678","77206","0.73"
"247","10/22/2018","3:00","OKALOOSA","0","109967","77206","0.73"
"248","10/22/2018","3:00","OKEECHOBEE","0","22420","77206","0.73"
"249","10/22/2018","3:00","ORANGE","0","582021","77206","0.73"
"250","10/22/2018","3:00","OSCEOLA","0","153219","77206","0.73"
"251","10/22/2018","3:00","PALM","0","777888","77206","0.73"
"252","10/22/2018","3:00","PASCO","0","270524","77206","0.73"
"253","10/22/2018","3:00","PINELLAS","0","537090","77206","0.73"
"254","10/22/2018","3:00","POLK","0","332026","77206","0.73"
"255","10/22/2018","3:00","PUTNAM","0","41195","77206","0.73"
"256","10/22/2018","3:00","SANTA","0","80308","77206","0.73"
"257","10/22/2018","3:00","SARASOTA","0","270195","77206","0.73"
"258","10/22/2018","3:00","SEMINOLE","0","209801","77206","0.73"
"259","10/22/2018","3:00","ST.","0","134966","77206","0.73"
"260","10/22/2018","3:00","ST.","0","156999","77206","0.73"
"261","10/22/2018","3:00","SUMTER","0","75106","77206","0.73"
"262","10/22/2018","3:00","SUWANNEE","0","22612","77206","0.73"
"263","10/22/2018","3:00","TAYLOR","0","13343","77206","0.73"
"264","10/22/2018","3:00","UNION","0","5383","77206","0.73"
"265","10/22/2018","3:00","VOLUSIA","0","289325","77206","0.73"
"266","10/22/2018","3:00","WAKULLA","3","15915","77206","0.73"
"267","10/22/2018","3:00","WALTON","0","60490","77206","0.73"
"268","10/22/2018","3:00","WASHINGTON","1903","13211","77206","0.73"
"269","10/22/2018","6:00","ALACHUA","0","130145","76683","0.72"
"270","10/22/2018","6:00","BAKER","0","11589","76683","0.72"
"271","10/22/2018","6:00","BAY","44362","117625","76683","0.72"
"272","10/22/2018","6:00","BRADFORD","0","12592","76683","0.72"
"273","10/22/2018","6:00","BREVARD","0","312898","76683","0.72"
"274","10/22/2018","6:00","BROWARD","0","939531","76683","0.72"
"275","10/22/2018","6:00","CALHOUN","5471","6937","76683","0.72"
"276","10/22/2018","6:00","CHARLOTTE","0","117437","76683","0.72"
"277","10/22/2018","6:00","CITRUS","0","88238","76683","0.72"
"278","10/22/2018","6:00","CLAY","0","94266","76683","0.72"
"279","10/22/2018","6:00","COLLIER","0","250710","76683","0.72"
"280","10/22/2018","6:00","COLUMBIA","0","33514","76683","0.72"
"281","10/22/2018","6:00","DESOTO","0","17827","76683","0.72"
"282","10/22/2018","6:00","DIXIE","0","10113","76683","0.72"
"283","10/22/2018","6:00","DUVAL","0","449806","76683","0.72"
"284","10/22/2018","6:00","ESCAMBIA","0","156436","76683","0.72"
"285","10/22/2018","6:00","FLAGLER","0","59627","76683","0.72"
"286","10/22/2018","6:00","FRANKLIN","0","10642","76683","0.72"
"287","10/22/2018","6:00","GADSDEN","3388","22425","76683","0.72"
"288","10/22/2018","6:00","GILCHRIST","0","9109","76683","0.72"
"289","10/22/2018","6:00","GLADES","0","7435","76683","0.72"
"290","10/22/2018","6:00","GULF","3062","11026","76683","0.72"
"291","10/22/2018","6:00","HAMILTON","0","6807","76683","0.72"
"292","10/22/2018","6:00","HARDEE","0","12375","76683","0.72"
"293","10/22/2018","6:00","HENDRY","0","18586","76683","0.72"
"294","10/22/2018","6:00","HERNANDO","0","95043","76683","0.72"
"295","10/22/2018","6:00","HIGHLANDS","0","62344","76683","0.72"
"296","10/22/2018","6:00","HILLSBOROUGH","0","634262","76683","0.72"
"297","10/22/2018","6:00","HOLMES","0","10347","76683","0.72"
"298","10/22/2018","6:00","INDIAN","0","93042","76683","0.72"
"299","10/22/2018","6:00","JACKSON","17445","24048","76683","0.72"
"300","10/22/2018","6:00","JEFFERSON","0","8376","76683","0.72"
